node_name,cpu-mem
view,0
view_1,0
_to_copy,0
convolution,0
view_2,0
transpose,0
view_3,0
embedding,0
view_4,0
tanh,21600
mul,6144000
add,4915200000
view_5,0
expand,0
view_6,0
tanh_1,21600
rsub,-72
mul_1,1229568000
view_7,0
add_1,4918272000
embedding_1,0
view_8,0
tanh_2,21600
mul_2,4918272000
add_2,4918272000
native_layer_norm,25616
constant_pad_nd,0
view_9,0
view_10,0
_to_copy_1,0
repeat,0
slice_1,0
slice_2,0
slice_3,0
slice_4,0
slice_5,0
slice_scatter,0
slice_scatter_1,0
slice_scatter_2,0
rsub_1,-36
view_11,0
transpose_1,0
expand_1,0
view_12,0
expand_2,0
view_13,0
bmm,24822374400
view_14,0
mul_3,24822371400
unsqueeze,0
view_15,0
native_layer_norm_1,501696
t,0
view_16,0
mm,790364160000
view_17,0
t_1,0
view_18,0
mm_1,790364160000
view_19,0
t_2,0
view_20,0
mm_2,790364160000
view_21,0
view_22,0
view_23,0
view_24,0
transpose_2,0
transpose_3,0
transpose_4,0
_scaled_dot_product_flash_attention_for_cpu,-1002549805056
transpose_5,0
view_25,0
t_3,0
view_26,0
mm_3,790364160000
view_27,0
add_3,395182080000
native_layer_norm_2,501696
view_28,0
t_4,0
addmm,790364160000
view_29,0
gelu,790364160000
view_30,0
t_5,0
addmm_1,197591040000
view_31,0
add_4,395182080000
native_layer_norm_3,501696
t_6,0
view_32,0
mm_4,790364160000
view_33,0
t_7,0
view_34,0
mm_5,790364160000
view_35,0
t_8,0
view_36,0
mm_6,790364160000
view_37,0
view_38,0
view_39,0
view_40,0
transpose_6,0
transpose_7,0
transpose_8,0
_scaled_dot_product_flash_attention_for_cpu_1,-1002549805056
transpose_9,0
view_41,0
t_9,0
view_42,0
mm_7,790364160000
view_43,0
add_5,395182080000
native_layer_norm_4,501696
view_44,0
t_10,0
addmm_2,790364160000
view_45,0
gelu_1,790364160000
view_46,0
t_11,0
addmm_3,197591040000
view_47,0
add_6,395182080000
native_layer_norm_5,501696
t_12,0
view_48,0
mm_8,790364160000
view_49,0
t_13,0
view_50,0
mm_9,790364160000
view_51,0
t_14,0
view_52,0
mm_10,790364160000
view_53,0
view_54,0
view_55,0
view_56,0
transpose_10,0
transpose_11,0
transpose_12,0
_scaled_dot_product_flash_attention_for_cpu_2,-1002549805056
transpose_13,0
view_57,0
t_15,0
view_58,0
mm_11,790364160000
view_59,0
add_7,395182080000
native_layer_norm_6,501696
view_60,0
t_16,0
addmm_4,790364160000
view_61,0
gelu_2,790364160000
view_62,0
t_17,0
addmm_5,197591040000
view_63,0
add_8,395182080000
native_layer_norm_7,501696
t_18,0
view_64,0
mm_12,790364160000
view_65,0
t_19,0
view_66,0
mm_13,790364160000
view_67,0
t_20,0
view_68,0
mm_14,790364160000
view_69,0
view_70,0
view_71,0
view_72,0
transpose_14,0
transpose_15,0
transpose_16,0
_scaled_dot_product_flash_attention_for_cpu_3,-1002549805056
transpose_17,0
view_73,0
t_21,0
view_74,0
mm_15,790364160000
view_75,0
add_9,395182080000
native_layer_norm_8,501696
view_76,0
t_22,0
addmm_6,790364160000
view_77,0
gelu_3,790364160000
view_78,0
t_23,0
addmm_7,197591040000
view_79,0
add_10,395182080000
native_layer_norm_9,501696
t_24,0
view_80,0
mm_16,790364160000
view_81,0
t_25,0
view_82,0
mm_17,790364160000
view_83,0
t_26,0
view_84,0
mm_18,790364160000
view_85,0
view_86,0
view_87,0
view_88,0
transpose_18,0
transpose_19,0
transpose_20,0
_scaled_dot_product_flash_attention_for_cpu_4,-1002549805056
transpose_21,0
view_89,0
t_27,0
view_90,0
mm_19,790364160000
view_91,0
add_11,395182080000
native_layer_norm_10,501696
view_92,0
t_28,0
addmm_8,790364160000
view_93,0
gelu_4,790364160000
view_94,0
t_29,0
addmm_9,197591040000
view_95,0
add_12,395182080000
native_layer_norm_11,501696
t_30,0
view_96,0
mm_20,790364160000
view_97,0
t_31,0
view_98,0
mm_21,790364160000
view_99,0
t_32,0
view_100,0
mm_22,790364160000
view_101,0
view_102,0
view_103,0
view_104,0
transpose_22,0
transpose_23,0
transpose_24,0
_scaled_dot_product_flash_attention_for_cpu_5,-1002549805056
transpose_25,0
view_105,0
t_33,0
view_106,0
mm_23,790364160000
view_107,0
add_13,395182080000
native_layer_norm_12,501696
view_108,0
t_34,0
addmm_10,790364160000
view_109,0
gelu_5,790364160000
view_110,0
t_35,0
addmm_11,197591040000
view_111,0
add_14,395182080000
native_layer_norm_13,501696
t_36,0
view_112,0
mm_24,790364160000
view_113,0
t_37,0
view_114,0
mm_25,790364160000
view_115,0
t_38,0
view_116,0
mm_26,790364160000
view_117,0
view_118,0
view_119,0
view_120,0
transpose_26,0
transpose_27,0
transpose_28,0
_scaled_dot_product_flash_attention_for_cpu_6,-1002549805056
transpose_29,0
view_121,0
t_39,0
view_122,0
mm_27,790364160000
view_123,0
add_15,395182080000
native_layer_norm_14,501696
view_124,0
t_40,0
addmm_12,790364160000
view_125,0
gelu_6,790364160000
view_126,0
t_41,0
addmm_13,197591040000
view_127,0
add_16,395182080000
native_layer_norm_15,501696
t_42,0
view_128,0
mm_28,790364160000
view_129,0
t_43,0
view_130,0
mm_29,790364160000
view_131,0
t_44,0
view_132,0
mm_30,790364160000
view_133,0
view_134,0
view_135,0
view_136,0
transpose_30,0
transpose_31,0
transpose_32,0
_scaled_dot_product_flash_attention_for_cpu_7,-1002549805056
transpose_33,0
view_137,0
t_45,0
view_138,0
mm_31,790364160000
view_139,0
add_17,395182080000
native_layer_norm_16,501696
view_140,0
t_46,0
addmm_14,790364160000
view_141,0
gelu_7,790364160000
view_142,0
t_47,0
addmm_15,197591040000
view_143,0
add_18,395182080000
native_layer_norm_17,501696
t_48,0
view_144,0
mm_32,790364160000
view_145,0
t_49,0
view_146,0
mm_33,790364160000
view_147,0
t_50,0
view_148,0
mm_34,790364160000
view_149,0
view_150,0
view_151,0
view_152,0
transpose_34,0
transpose_35,0
transpose_36,0
_scaled_dot_product_flash_attention_for_cpu_8,-1002549805056
transpose_37,0
view_153,0
t_51,0
view_154,0
mm_35,790364160000
view_155,0
add_19,395182080000
native_layer_norm_18,501696
view_156,0
t_52,0
addmm_16,790364160000
view_157,0
gelu_8,790364160000
view_158,0
t_53,0
addmm_17,197591040000
view_159,0
add_20,395182080000
native_layer_norm_19,501696
t_54,0
view_160,0
mm_36,790364160000
view_161,0
t_55,0
view_162,0
mm_37,790364160000
view_163,0
t_56,0
view_164,0
mm_38,790364160000
view_165,0
view_166,0
view_167,0
view_168,0
transpose_38,0
transpose_39,0
transpose_40,0
_scaled_dot_product_flash_attention_for_cpu_9,-1002549805056
transpose_41,0
view_169,0
t_57,0
view_170,0
mm_39,790364160000
view_171,0
add_21,395182080000
native_layer_norm_20,501696
view_172,0
t_58,0
addmm_18,790364160000
view_173,0
gelu_9,790364160000
view_174,0
t_59,0
addmm_19,197591040000
view_175,0
add_22,395182080000
native_layer_norm_21,501696
t_60,0
view_176,0
mm_40,790364160000
view_177,0
t_61,0
view_178,0
mm_41,790364160000
view_179,0
t_62,0
view_180,0
mm_42,790364160000
view_181,0
view_182,0
view_183,0
view_184,0
transpose_42,0
transpose_43,0
transpose_44,0
_scaled_dot_product_flash_attention_for_cpu_10,-1002549805056
transpose_45,0
view_185,0
t_63,0
view_186,0
mm_43,790364160000
view_187,0
add_23,395182080000
native_layer_norm_22,501696
view_188,0
t_64,0
addmm_20,790364160000
view_189,0
gelu_10,790364160000
view_190,0
t_65,0
addmm_21,197591040000
view_191,0
add_24,395182080000
native_layer_norm_23,501696
t_66,0
view_192,0
mm_44,790364160000
view_193,0
t_67,0
view_194,0
mm_45,790364160000
view_195,0
t_68,0
view_196,0
mm_46,790364160000
view_197,0
view_198,0
view_199,0
view_200,0
transpose_46,0
transpose_47,0
transpose_48,0
_scaled_dot_product_flash_attention_for_cpu_11,-1002549805056
transpose_49,0
view_201,0
t_69,0
view_202,0
mm_47,790364160000
view_203,0
add_25,395182080000
native_layer_norm_24,501696
view_204,0
t_70,0
addmm_22,790364160000
view_205,0
gelu_11,790364160000
view_206,0
t_71,0
addmm_23,197591040000
view_207,0
add_26,395182080000
native_layer_norm_25,501696
t_72,0
view_208,0
mm_48,790364160000
view_209,0
t_73,0
view_210,0
mm_49,790364160000
view_211,0
t_74,0
view_212,0
mm_50,790364160000
view_213,0
view_214,0
view_215,0
view_216,0
transpose_50,0
transpose_51,0
transpose_52,0
_scaled_dot_product_flash_attention_for_cpu_12,-1002549805056
transpose_53,0
view_217,0
t_75,0
view_218,0
mm_51,790364160000
view_219,0
add_27,395182080000
native_layer_norm_26,501696
view_220,0
t_76,0
addmm_24,790364160000
view_221,0
gelu_12,790364160000
view_222,0
t_77,0
addmm_25,197591040000
view_223,0
add_28,395182080000
native_layer_norm_27,501696
t_78,0
view_224,0
mm_52,790364160000
view_225,0
t_79,0
view_226,0
mm_53,790364160000
view_227,0
t_80,0
view_228,0
mm_54,790364160000
view_229,0
view_230,0
view_231,0
view_232,0
transpose_54,0
transpose_55,0
transpose_56,0
_scaled_dot_product_flash_attention_for_cpu_13,-1002549805056
transpose_57,0
view_233,0
t_81,0
view_234,0
mm_55,790364160000
view_235,0
add_29,395182080000
native_layer_norm_28,501696
view_236,0
t_82,0
addmm_26,790364160000
view_237,0
gelu_13,790364160000
view_238,0
t_83,0
addmm_27,197591040000
view_239,0
add_30,395182080000
native_layer_norm_29,501696
t_84,0
view_240,0
mm_56,790364160000
view_241,0
t_85,0
view_242,0
mm_57,790364160000
view_243,0
t_86,0
view_244,0
mm_58,790364160000
view_245,0
view_246,0
view_247,0
view_248,0
transpose_58,0
transpose_59,0
transpose_60,0
_scaled_dot_product_flash_attention_for_cpu_14,-1002549805056
transpose_61,0
view_249,0
t_87,0
view_250,0
mm_59,790364160000
view_251,0
add_31,395182080000
native_layer_norm_30,501696
view_252,0
t_88,0
addmm_28,790364160000
view_253,0
gelu_14,790364160000
view_254,0
t_89,0
addmm_29,197591040000
view_255,0
add_32,395182080000
native_layer_norm_31,501696
t_90,0
view_256,0
mm_60,790364160000
view_257,0
t_91,0
view_258,0
mm_61,790364160000
view_259,0
t_92,0
view_260,0
mm_62,790364160000
view_261,0
view_262,0
view_263,0
view_264,0
transpose_62,0
transpose_63,0
transpose_64,0
_scaled_dot_product_flash_attention_for_cpu_15,-1002549805056
transpose_65,0
view_265,0
t_93,0
view_266,0
mm_63,790364160000
view_267,0
add_33,395182080000
native_layer_norm_32,501696
view_268,0
t_94,0
addmm_30,790364160000
view_269,0
gelu_15,790364160000
view_270,0
t_95,0
addmm_31,197591040000
view_271,0
add_34,395182080000
native_layer_norm_33,501696
t_96,0
view_272,0
mm_64,790364160000
view_273,0
t_97,0
view_274,0
mm_65,790364160000
view_275,0
t_98,0
view_276,0
mm_66,790364160000
view_277,0
view_278,0
view_279,0
view_280,0
transpose_66,0
transpose_67,0
transpose_68,0
_scaled_dot_product_flash_attention_for_cpu_16,-1002549805056
transpose_69,0
view_281,0
t_99,0
view_282,0
mm_67,790364160000
view_283,0
add_35,395182080000
native_layer_norm_34,501696
view_284,0
t_100,0
addmm_32,790364160000
view_285,0
gelu_16,790364160000
view_286,0
t_101,0
addmm_33,197591040000
view_287,0
add_36,395182080000
native_layer_norm_35,501696
t_102,0
view_288,0
mm_68,790364160000
view_289,0
t_103,0
view_290,0
mm_69,790364160000
view_291,0
t_104,0
view_292,0
mm_70,790364160000
view_293,0
view_294,0
view_295,0
view_296,0
transpose_70,0
transpose_71,0
transpose_72,0
_scaled_dot_product_flash_attention_for_cpu_17,-1002549805056
transpose_73,0
view_297,0
t_105,0
view_298,0
mm_71,790364160000
view_299,0
add_37,395182080000
native_layer_norm_36,501696
view_300,0
t_106,0
addmm_34,790364160000
view_301,0
gelu_17,790364160000
view_302,0
t_107,0
addmm_35,197591040000
view_303,0
add_38,395182080000
native_layer_norm_37,501696
t_108,0
view_304,0
mm_72,790364160000
view_305,0
t_109,0
view_306,0
mm_73,790364160000
view_307,0
t_110,0
view_308,0
mm_74,790364160000
view_309,0
view_310,0
view_311,0
view_312,0
transpose_74,0
transpose_75,0
transpose_76,0
_scaled_dot_product_flash_attention_for_cpu_18,-1002549805056
transpose_77,0
view_313,0
t_111,0
view_314,0
mm_75,790364160000
view_315,0
add_39,395182080000
native_layer_norm_38,501696
view_316,0
t_112,0
addmm_36,790364160000
view_317,0
gelu_18,790364160000
view_318,0
t_113,0
addmm_37,197591040000
view_319,0
add_40,395182080000
native_layer_norm_39,501696
t_114,0
view_320,0
mm_76,790364160000
view_321,0
t_115,0
view_322,0
mm_77,790364160000
view_323,0
t_116,0
view_324,0
mm_78,790364160000
view_325,0
view_326,0
view_327,0
view_328,0
transpose_78,0
transpose_79,0
transpose_80,0
_scaled_dot_product_flash_attention_for_cpu_19,-1002549805056
transpose_81,0
view_329,0
t_117,0
view_330,0
mm_79,790364160000
view_331,0
add_41,395182080000
native_layer_norm_40,501696
view_332,0
t_118,0
addmm_38,790364160000
