Node,Shape,Dtype,Memory (Bytes)
view,"torch.Size([4, 3, 560, 560])",torch.float32,15052800
view_1,"torch.Size([1, 1])",torch.int64,8
_to_copy,"torch.Size([4, 3, 560, 560])",torch.bfloat16,7526400
convolution,"torch.Size([4, 1280, 40, 40])",torch.bfloat16,16384000
view_2,"torch.Size([4, 1280, 1600])",torch.bfloat16,16384000
transpose,"torch.Size([4, 1600, 1280])",torch.bfloat16,16384000
view_3,"torch.Size([1, 4, 1600, 1280])",torch.bfloat16,16384000
embedding,"torch.Size([1, 1, 5120])",torch.bfloat16,10240
view_4,"torch.Size([1, 4, 1, 1280])",torch.bfloat16,10240
tanh,torch.Size([1]),torch.bfloat16,2
mul,"torch.Size([1, 4, 1, 1280])",torch.bfloat16,10240
add,"torch.Size([1, 4, 1600, 1280])",torch.bfloat16,16384000
view_5,"torch.Size([4, 1600, 1280])",torch.bfloat16,16384000
expand,"torch.Size([4, 1, 1280])",torch.bfloat16,10240
cat,"torch.Size([4, 1601, 1280])",torch.bfloat16,16394240
view_6,"torch.Size([1, 4, 1601, 1280])",torch.bfloat16,16394240
tanh_1,torch.Size([1]),torch.bfloat16,2
rsub,torch.Size([1]),torch.bfloat16,2
mul_1,"torch.Size([1601, 1280])",torch.bfloat16,4098560
view_7,"torch.Size([1, 1, 1601, 1280])",torch.bfloat16,4098560
add_1,"torch.Size([1, 4, 1601, 1280])",torch.bfloat16,16394240
embedding_1,"torch.Size([1, 1, 8197120])",torch.bfloat16,16394240
view_8,"torch.Size([1, 4, 1601, 1280])",torch.bfloat16,16394240
tanh_2,torch.Size([1]),torch.bfloat16,2
mul_2,"torch.Size([1, 4, 1601, 1280])",torch.bfloat16,16394240
add_2,"torch.Size([1, 4, 1601, 1280])",torch.bfloat16,16394240
getitem,"torch.Size([1, 4, 1601, 1280])",torch.bfloat16,16394240
constant_pad_nd,"torch.Size([1, 4, 1608, 1280])",torch.bfloat16,16465920
view_9,"torch.Size([1, 4])",torch.int64,32
view_10,"torch.Size([1, 4, 1, 1])",torch.int64,32
_to_copy_1,"torch.Size([1, 4, 1, 1])",torch.bfloat16,8
repeat,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
lift_fresh_copy,torch.Size([]),torch.bfloat16,2.0
slice_1,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
slice_2,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
slice_3,"torch.Size([1, 4, 7, 1])",torch.bfloat16,56
fill,"torch.Size([1, 4, 7, 1])",torch.bfloat16,56
slice_4,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
slice_5,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
slice_scatter,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
slice_scatter_1,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
slice_scatter_2,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
rsub_1,"torch.Size([1, 4, 1608, 1])",torch.bfloat16,12864
view_11,"torch.Size([1, 6432, 1])",torch.bfloat16,12864
transpose_1,"torch.Size([1, 1, 6432])",torch.bfloat16,12864
expand_1,"torch.Size([1, 6432, 1])",torch.bfloat16,12864
view_12,"torch.Size([1, 6432, 1])",torch.bfloat16,12864
expand_2,"torch.Size([1, 1, 6432])",torch.bfloat16,12864
view_13,"torch.Size([1, 1, 6432])",torch.bfloat16,12864
bmm,"torch.Size([1, 6432, 6432])",torch.bfloat16,82741248
view_14,"torch.Size([1, 6432, 6432])",torch.bfloat16,82741248
mul_3,"torch.Size([1, 6432, 6432])",torch.bfloat16,82741248
unsqueeze,"torch.Size([1, 1, 6432, 6432])",torch.bfloat16,82741248
view_15,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
getitem_3,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
t,"torch.Size([1280, 1280])",torch.bfloat16,3276800
view_16,"torch.Size([6432, 1280])",torch.bfloat16,16465920
mm,"torch.Size([6432, 1280])",torch.bfloat16,16465920
view_17,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
t_1,"torch.Size([1280, 1280])",torch.bfloat16,3276800
view_18,"torch.Size([6432, 1280])",torch.bfloat16,16465920
mm_1,"torch.Size([6432, 1280])",torch.bfloat16,16465920
view_19,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
t_2,"torch.Size([1280, 1280])",torch.bfloat16,3276800
view_20,"torch.Size([6432, 1280])",torch.bfloat16,16465920
mm_2,"torch.Size([6432, 1280])",torch.bfloat16,16465920
view_21,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
view_22,"torch.Size([1, 6432, 16, 80])",torch.bfloat16,16465920
view_23,"torch.Size([1, 6432, 16, 80])",torch.bfloat16,16465920
view_24,"torch.Size([1, 6432, 16, 80])",torch.bfloat16,16465920
transpose_2,"torch.Size([1, 16, 6432, 80])",torch.bfloat16,16465920
transpose_3,"torch.Size([1, 16, 6432, 80])",torch.bfloat16,16465920
transpose_4,"torch.Size([1, 16, 6432, 80])",torch.bfloat16,16465920
getitem_6,"torch.Size([1, 16, 6432, 80])",torch.bfloat16,16465920
transpose_5,"torch.Size([1, 6432, 16, 80])",torch.bfloat16,16465920
view_25,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
t_3,"torch.Size([1280, 1280])",torch.bfloat16,3276800
view_26,"torch.Size([6432, 1280])",torch.bfloat16,16465920
mm_3,"torch.Size([6432, 1280])",torch.bfloat16,16465920
view_27,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
add_3,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
getitem_8,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
view_28,"torch.Size([6432, 1280])",torch.bfloat16,16465920
t_4,"torch.Size([1280, 5120])",torch.bfloat16,13107200
addmm,"torch.Size([6432, 5120])",torch.bfloat16,65863680
view_29,"torch.Size([1, 6432, 5120])",torch.bfloat16,65863680
gelu,"torch.Size([1, 6432, 5120])",torch.bfloat16,65863680
view_30,"torch.Size([6432, 5120])",torch.bfloat16,65863680
t_5,"torch.Size([5120, 1280])",torch.bfloat16,13107200
addmm_1,"torch.Size([6432, 1280])",torch.bfloat16,16465920
view_31,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
add_4,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
getitem_11,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
t_6,"torch.Size([1280, 1280])",torch.bfloat16,3276800
view_32,"torch.Size([6432, 1280])",torch.bfloat16,16465920
mm_4,"torch.Size([6432, 1280])",torch.bfloat16,16465920
view_33,"torch.Size([1, 6432, 1280])",torch.bfloat16,16465920
t_7,"torch.Size([1280, 1280])",torch.bfloat16,3276800
