node_name,cpu-mem
embedding,0
_to_copy,0
view,0
convolution,0
view_1,0
slice_1,0
slice_2,0
view_2,0
slice_3,0
slice_4,0
view_3,0
cos,1536
sin,1536
slice_5,0
select,0
slice_6,0
select_1,0
mul,14480
slice_7,0
select_2,0
pow_1,32768
mean,3
add,25941604
rsqrt,4
_to_copy_1,0
mul_1,1526
t,0
addmm,16384
permute,0
unbind,0
unsqueeze,0
unsqueeze_1,0
neg,8192
mul_2,1526
neg_1,1024
mul_3,32768
add_1,8
_to_copy_2,0
_to_copy_3,0
zeros,0
silu,59136
t_1,0
addmm_1,2048
t_2,0
addmm_2,2048
add_2,0
gelu,36628480
eq,3619
sum_1,-28808
expand,0
masked_scatter,0
full,1
arange,0
gt,3621
arange_1,0
sub,1
le,3621
bitwise_or,3621
unsqueeze_2,0
unsqueeze_3,0
expand_1,0
clone,0
slice_8,0
unsqueeze_4,0
unsqueeze_5,0
slice_9,0
slice_10,0
slice_11,0
slice_12,0
masked_fill,0
slice_13,0
slice_14,0
slice_15,0
copy,0
slice_16,0
slice_17,0
slice_scatter,0
slice_scatter_1,0
slice_scatter_2,0
unsqueeze_6,0
unsqueeze_7,0
slice_21,0
unsqueeze_8,0
expand_2,0
slice_22,0
slice_23,0
unsqueeze_9,0
slice_24,0
expand_3,0
expand_4,0
bmm,768
view_4,0
transpose,0
_to_copy_4,0
mul_4,16384
view_5,0
view_6,0
view_7,0
view_8,0
view_9,0
view_10,0
view_11,0
transpose_1,0
view_12,0
transpose_2,0
view_13,0
transpose_3,0
split_with_sizes,0
select_3,0
select_4,0
select_5,0
unsqueeze_10,0
split_with_sizes_1,0
select_6,0
select_7,0
select_8,0
select_9,0
select_10,0
select_11,0
unsqueeze_11,0
mul_5,16384
slice_25,0
slice_26,0
mul_6,16384
mul_7,2048
slice_27,0
slice_28,0
mul_8,2048
add_3,-6
slice_29,0
slice_30,0
unsqueeze_12,0
slice_31,0
slice_32,0
expand_5,0
clone_1,0
_unsafe_view,0
slice_33,0
slice_34,0
unsqueeze_13,0
slice_35,0
slice_36,0
expand_6,0
clone_2,0
_unsafe_view_1,0
slice_40,0
slice_41,0
slice_42,0
_scaled_dot_product_flash_attention_for_cpu,-344422
transpose_4,0
view_14,0
t_3,0
view_15,0
mm,16384
view_16,0
add_4,16384
_to_copy_5,0
pow_2,32768
mean_1,3
add_5,2048
rsqrt_1,4
mul_9,32768
_to_copy_6,0
mul_10,16384
t_4,0
view_17,0
mm_1,59136
view_18,0
t_5,0
view_19,0
mm_2,59136
view_20,0
mul_11,59136
t_6,0
view_21,0
mm_3,16384
view_22,0
add_6,16384
_to_copy_7,0
pow_3,32768
mean_2,3
add_7,-6
rsqrt_2,4
mul_12,32768
_to_copy_8,0
mul_13,16384
view_23,0
t_7,0
addmm_3,16384
view_24,0
view_25,0
t_8,0
addmm_4,2048
view_26,0
view_27,0
t_9,0
addmm_5,2048
view_28,0
view_29,0
transpose_5,0
view_30,0
transpose_6,0
view_31,0
transpose_7,0
split_with_sizes_2,0
select_12,0
select_13,0
select_14,0
select_15,0
select_16,0
select_17,0
unsqueeze_14,0
split_with_sizes_3,0
select_18,0
select_19,0
select_20,0
select_21,0
select_22,0
select_23,0
unsqueeze_15,0
mul_14,16384
slice_43,0
slice_44,0
neg_2,8192
mul_15,16384
add_8,16384
mul_16,2048
slice_45,0
slice_46,0
neg_3,1024
mul_17,2048
add_9,-6
slice_47,0
slice_48,0
unsqueeze_16,0
slice_49,0
slice_50,0
expand_7,0
clone_3,0
_unsafe_view_2,0
slice_51,0
slice_52,0
unsqueeze_17,0
slice_53,0
slice_54,0
expand_8,0
clone_4,0
_unsafe_view_3,0
slice_58,0
slice_59,0
slice_60,0
_scaled_dot_product_flash_attention_for_cpu_1,-344422
transpose_8,0
view_32,0
t_10,0
view_33,0
mm_4,16384
view_34,0
add_10,16384
_to_copy_9,0
pow_4,32768
mean_3,3
add_11,2048
rsqrt_3,4
mul_18,32768
_to_copy_10,0
mul_19,16384
t_11,0
view_35,0
mm_5,59136
view_36,0
silu_1,59136
t_12,0
view_37,0
mm_6,59136
view_38,0
mul_20,59136
t_13,0
view_39,0
mm_7,16384
view_40,0
add_12,16384
_to_copy_11,0
pow_5,32768
mean_4,3
add_13,-6
rsqrt_4,4
mul_21,32768
_to_copy_12,0
mul_22,16384
view_41,0
t_14,0
addmm_6,16384
view_42,0
view_43,0
t_15,0
addmm_7,2048
view_44,0
view_45,0
t_16,0
addmm_8,2048
view_46,0
view_47,0
transpose_9,0
view_48,0
transpose_10,0
view_49,0
transpose_11,0
split_with_sizes_4,0
select_24,0
select_25,0
select_26,0
select_27,0
select_28,0
select_29,0
unsqueeze_18,0
split_with_sizes_5,0
select_30,0
select_31,0
select_32,0
select_33,0
select_34,0
select_35,0
unsqueeze_19,0
mul_23,16384
slice_61,0
slice_62,0
neg_4,8192
mul_24,16384
add_14,16384
mul_25,2048
slice_63,0
slice_64,0
neg_5,1024
mul_26,2048
add_15,-6
slice_65,0
slice_66,0
unsqueeze_20,0
slice_67,0
slice_68,0
expand_9,0
clone_5,0
_unsafe_view_4,0
slice_69,0
slice_70,0
unsqueeze_21,0
slice_71,0
slice_72,0
expand_10,0
clone_6,0
_unsafe_view_5,0
slice_76,0
slice_77,0
slice_78,0
_scaled_dot_product_flash_attention_for_cpu_2,-344422
transpose_12,0
view_50,0
t_17,0
view_51,0
mm_8,16384
view_52,0
add_16,16384
_to_copy_13,0
pow_6,32768
mean_5,3
add_17,2048
rsqrt_5,4
mul_27,32768
_to_copy_14,0
mul_28,16384
t_18,0
view_53,0
mm_9,59136
view_54,0
silu_2,59136
t_19,0
view_55,0
mm_10,59136
view_56,0
mul_29,59136
t_20,0
view_57,0
mm_11,16384
view_58,0
add_18,16384
_to_copy_15,0
pow_7,32768
mean_6,3
add_19,-6
rsqrt_6,4
mul_30,32768
_to_copy_16,0
mul_31,16384
view_59,0
t_21,0
addmm_9,16384
view_60,0
view_61,0
t_22,0
addmm_10,2048
view_62,0
view_63,0
t_23,0
addmm_11,2048
view_64,0
view_65,0
transpose_13,0
view_66,0
transpose_14,0
view_67,0
transpose_15,0
split_with_sizes_6,0
select_36,0
select_37,0
select_38,0
select_39,0
select_40,0
select_41,0
unsqueeze_22,0
split_with_sizes_7,0
select_42,0
select_43,0
select_44,0
select_45,0
select_46,0
select_47,0
unsqueeze_23,0
mul_32,16384
slice_79,0
slice_80,0
neg_6,8192
mul_33,16384
add_20,16384
mul_34,2048
slice_81,0
slice_82,0
neg_7,1024
mul_35,2048
add_21,-6
slice_83,0
slice_84,0
unsqueeze_24,0
slice_85,0
slice_86,0
expand_11,0
clone_7,0
_unsafe_view_6,0
slice_87,0
slice_88,0
unsqueeze_25,0
slice_89,0
slice_90,0
expand_12,0
clone_8,0
_unsafe_view_7,0
slice_94,0
slice_95,0
slice_96,0
_scaled_dot_product_flash_attention_for_cpu_3,-344422
transpose_16,0
view_68,0
t_24,0
view_69,0
mm_12,16384
view_70,0
add_22,16384
_to_copy_17,0
pow_8,32768
mean_7,3
add_23,2048
rsqrt_7,4
mul_36,32768
_to_copy_18,0
mul_37,16384
t_25,0
view_71,0
mm_13,59136
view_72,0
silu_3,59136
t_26,0
view_73,0
mm_14,59136
view_74,0
mul_38,59136
t_27,0
view_75,0
mm_15,16384
view_76,0
add_24,16384
_to_copy_19,0
pow_9,32768
mean_8,3
add_25,-6
rsqrt_8,4
mul_39,32768
_to_copy_20,0
mul_40,16384
view_77,0
t_28,0
addmm_12,16384
view_78,0
view_79,0
t_29,0
addmm_13,2048
view_80,0
view_81,0
t_30,0
addmm_14,2048
view_82,0
view_83,0
transpose_17,0
view_84,0
transpose_18,0
view_85,0
transpose_19,0
split_with_sizes_8,0
select_48,0
select_49,0
select_50,0
select_51,0
select_52,0
select_53,0
unsqueeze_26,0
split_with_sizes_9,0
select_54,0
select_55,0
select_56,0
select_57,0
select_58,0
select_59,0
unsqueeze_27,0
mul_41,16384
slice_97,0
slice_98,0
neg_8,8192
mul_42,16384
add_26,16384
mul_43,2048
slice_99,0
slice_100,0
neg_9,1024
