node_name,cpu-mem
select,0
arange,0
view,0
expand,0
unsqueeze,0
expand_1,0
clone,0
view_1,0
add_1,456
unsqueeze_1,0
expand_2,0
full,0
arange_1,0
view_2,0
gt,10809
arange_2,0
view_3,0
sub,40
le,10809
bitwise_or,10809
mul,0
unsqueeze_4,0
unsqueeze_5,0
slice_3,0
slice_4,0
expand_4,0
clone_1,0
slice_5,0
slice_6,0
slice_7,0
slice_8,0
unsqueeze_6,0
unsqueeze_7,0
slice_9,0
add_2,0
eq,10803
slice_10,0
slice_11,0
slice_12,0
masked_fill,0
slice_13,0
slice_14,0
slice_15,0
copy,0
slice_16,0
slice_17,0
slice_scatter,0
slice_scatter_1,0
slice_scatter_2,0
unsqueeze_8,0
unsqueeze_9,0
slice_21,0
unsqueeze_10,0
expand_5,0
slice_22,0
slice_23,0
unsqueeze_11,0
slice_24,0
_to_copy,0
expand_6,0
view_4,0
expand_7,0
view_5,0
bmm,43776
view_6,0
transpose,0
cos,87552
sin,87552
mul_1,173856
mul_2,173856
_to_copy_1,0
_to_copy_2,0
_to_copy_3,0
pow_1,46577664
mean,9300
add_3,-22776
rsqrt,12996
mul_3,46577664
_to_copy_4,0
mul_4,23288832
view_7,0
t,0
addmm,11440128
view_8,0
view_9,0
t_1,0
addmm_1,3268608
view_10,0
view_11,0
t_2,0
addmm_2,3268608
view_12,0
view_13,0
transpose_1,0
view_14,0
transpose_2,0
view_15,0
transpose_3,0
split_with_sizes,0
select_1,0
select_2,0
select_3,0
select_4,0
select_5,0
select_6,0
unsqueeze_12,0
split_with_sizes_1,0
select_7,0
select_8,0
select_9,0
select_10,0
select_11,0
select_12,0
unsqueeze_13,0
mul_5,22880256
slice_25,0
slice_26,0
neg,5720064
mul_6,22880256
add_4,11440128
mul_7,3268608
slice_27,0
slice_28,0
neg_1,817152
mul_8,3268608
add_5,1634304
slice_29,0
slice_30,0
unsqueeze_14,0
slice_31,0
slice_32,0
expand_8,0
clone_2,0
_unsafe_view,0
slice_33,0
slice_34,0
unsqueeze_15,0
slice_35,0
slice_36,0
expand_9,0
clone_3,0
_unsafe_view_1,0
slice_40,0
slice_41,0
slice_42,0
_scaled_dot_product_flash_attention_for_cpu,-28965888
transpose_4,0
view_16,0
t_3,0
view_17,0
mm,11440128
view_18,0
add_6,22880256
_to_copy_5,0
pow_2,46577664
mean_1,9300
add_7,-22776
rsqrt_1,12996
mul_9,46577664
_to_copy_6,0
mul_10,23288832
t_4,0
view_19,0
mm_1,120938496
view_20,0
silu,60469248
t_5,0
view_21,0
mm_2,120938496
view_22,0
mul_11,60469248
t_6,0
view_23,0
mm_3,11440128
view_24,0
add_8,22880256
_to_copy_7,0
pow_3,46577664
mean_2,9300
add_9,-22776
rsqrt_2,12996
mul_12,46577664
_to_copy_8,0
mul_13,23288832
view_25,0
t_7,0
addmm_3,11440128
view_26,0
view_27,0
t_8,0
addmm_4,3268608
view_28,0
view_29,0
t_9,0
addmm_5,3268608
view_30,0
view_31,0
transpose_5,0
view_32,0
transpose_6,0
view_33,0
transpose_7,0
split_with_sizes_2,0
select_13,0
select_14,0
select_15,0
select_16,0
select_17,0
select_18,0
unsqueeze_16,0
split_with_sizes_3,0
select_19,0
select_20,0
select_21,0
select_22,0
select_23,0
select_24,0
unsqueeze_17,0
mul_14,22880256
slice_43,0
slice_44,0
neg_2,5720064
mul_15,22880256
add_10,11440128
mul_16,3268608
slice_45,0
slice_46,0
neg_3,817152
mul_17,3268608
add_11,1634304
slice_47,0
slice_48,0
unsqueeze_18,0
slice_49,0
slice_50,0
expand_10,0
clone_4,0
_unsafe_view_2,0
slice_51,0
slice_52,0
unsqueeze_19,0
slice_53,0
slice_54,0
expand_11,0
clone_5,0
_unsafe_view_3,0
slice_58,0
slice_59,0
slice_60,0
_scaled_dot_product_flash_attention_for_cpu_1,-28965888
transpose_8,0
view_34,0
t_10,0
view_35,0
mm_4,11440128
view_36,0
add_12,22880256
_to_copy_9,0
pow_4,46577664
mean_3,9300
add_13,-22776
rsqrt_3,12996
mul_18,46577664
_to_copy_10,0
mul_19,23288832
t_11,0
view_37,0
mm_5,120938496
view_38,0
silu_1,60469248
t_12,0
view_39,0
mm_6,120938496
view_40,0
mul_20,60469248
t_13,0
view_41,0
mm_7,11440128
view_42,0
add_14,22880256
_to_copy_11,0
pow_5,46577664
mean_4,9300
add_15,-22776
rsqrt_4,12996
mul_21,46577664
_to_copy_12,0
mul_22,23288832
view_43,0
t_14,0
addmm_6,11440128
view_44,0
view_45,0
t_15,0
addmm_7,3268608
view_46,0
view_47,0
t_16,0
addmm_8,3268608
view_48,0
view_49,0
transpose_9,0
view_50,0
transpose_10,0
view_51,0
transpose_11,0
split_with_sizes_4,0
select_25,0
select_26,0
select_27,0
select_28,0
select_29,0
select_30,0
unsqueeze_20,0
split_with_sizes_5,0
select_31,0
select_32,0
select_33,0
select_34,0
select_35,0
select_36,0
unsqueeze_21,0
mul_23,22880256
slice_61,0
slice_62,0
neg_4,5720064
mul_24,22880256
add_16,11440128
mul_25,3268608
slice_63,0
slice_64,0
neg_5,817152
mul_26,3268608
add_17,1634304
slice_65,0
slice_66,0
unsqueeze_22,0
slice_67,0
slice_68,0
expand_12,0
clone_6,0
_unsafe_view_4,0
slice_69,0
slice_70,0
unsqueeze_23,0
slice_71,0
slice_72,0
expand_13,0
clone_7,0
_unsafe_view_5,0
slice_76,0
slice_77,0
slice_78,0
_scaled_dot_product_flash_attention_for_cpu_2,-28965888
transpose_12,0
view_52,0
t_17,0
view_53,0
mm_8,11440128
view_54,0
add_18,22880256
_to_copy_13,0
pow_6,46577664
mean_5,9300
add_19,-22776
rsqrt_5,12996
mul_27,46577664
_to_copy_14,0
mul_28,23288832
t_18,0
view_55,0
mm_9,120938496
view_56,0
silu_2,60469248
t_19,0
view_57,0
mm_10,120938496
view_58,0
mul_29,60469248
t_20,0
view_59,0
mm_11,11440128
view_60,0
add_20,22880256
_to_copy_15,0
pow_7,46577664
mean_6,9300
add_21,-22776
rsqrt_6,12996
mul_30,46577664
_to_copy_16,0
mul_31,23288832
view_61,0
t_21,0
addmm_9,11440128
view_62,0
view_63,0
t_22,0
