node_name,cpu-mem
convolution,0
_native_batch_norm_legit_no_training,-1536
relu,0
max_pool2d_with_indices,7225344
convolution_1,0
_native_batch_norm_legit_no_training_1,-6144
relu_1,0
convolution_2,0
_native_batch_norm_legit_no_training_2,-6144
add,4816896
relu_2,0
convolution_3,0
_native_batch_norm_legit_no_training_3,-6144
relu_3,0
convolution_4,0
_native_batch_norm_legit_no_training_4,-6144
add_1,4816896
relu_4,0
convolution_5,0
_native_batch_norm_legit_no_training_5,-15360
relu_5,0
convolution_6,0
_native_batch_norm_legit_no_training_6,-15360
convolution_7,0
_native_batch_norm_legit_no_training_7,-15360
add_2,2408448
relu_6,0
convolution_8,0
_native_batch_norm_legit_no_training_8,-15360
relu_7,0
convolution_9,0
_native_batch_norm_legit_no_training_9,-15360
add_3,2408448
relu_8,0
convolution_10,0
_native_batch_norm_legit_no_training_10,-30720
relu_9,0
convolution_11,0
_native_batch_norm_legit_no_training_11,-30720
convolution_12,0
_native_batch_norm_legit_no_training_12,-30720
add_4,1204224
relu_10,0
convolution_13,0
_native_batch_norm_legit_no_training_13,-30720
relu_11,0
convolution_14,0
_native_batch_norm_legit_no_training_14,-30720
add_5,1204224
relu_12,0
convolution_15,0
_native_batch_norm_legit_no_training_15,-61440
relu_13,0
convolution_16,0
_native_batch_norm_legit_no_training_16,-61440
convolution_17,0
_native_batch_norm_legit_no_training_17,-61440
add_6,602112
relu_14,0
convolution_18,0
_native_batch_norm_legit_no_training_18,-61440
relu_15,0
convolution_19,0
_native_batch_norm_legit_no_training_19,-61440
add_7,602112
relu_16,0
mean,6144
view,0
t,0
addmm,12000
